school ,tot,min,dis,stw
MORRISVILLE MIDDLE SCHOOL HIGH SCHOOL,334,0.06,0.42,0
A D OLIVER MIDDLE SCHOOL,862,0.17,0.42,0
GILBERTSVILLE-MOUNT UPTON JUNIOR-SENIOR HIGH SCHOOL,230,0.03,0.42,0
MIDDLEBURGH HIGH SCHOOL,275,0.03,0.43,0
PARISHVILLE-HOPKINTON JUNIOR-SENIOR HIGH SCHOOL,195,0.01,0.43,0
HAMPTON BAYS MIDDLE SCHOOL,586,0.51,0.43,0
CORTLAND JUNIOR-SENIOR HIGH SCHOOL,1200,0.11,0.43,0
GROTON JUNIOR/SENIOR HIGH SCHOOL,276,0.05,0.43,0
CAMPBELL-SAVONA JUNIOR/SENIOR HIGH SCHOOL,411,0.04,0.43,0
NORTHEASTERN CLINTON MIDDLE SCHOOL,314,0.09,0.43,0
CORINTH MIDDLE SCHOOL,260,0.02,0.43,0
RAVENA-COEYMANS-SELKIRK MIDDLE SCHOOL,474,0.15,0.43,0
EAST ROCHESTER JUNIOR-SENIOR HIGH SCHOOL,497,0.14,0.43,0
MEXICO MIDDLE SCHOOL,655,0.05,0.44,0
SAUGERTIES JUNIOR HIGH SCHOOL,492,0.14,0.44,0
ADIRONDACK MIDDLE SCHOOL,302,0.02,0.44,0
CATTARAUGUS-LITTLE VALLEY MIDDLE SCHOOL,277,0.05,0.44,0
RONDOUT VALLEY JUNIOR HIGH SCHOOL,304,0.11,0.44,0
GRANVILLE JUNIOR-SENIOR HIGH SCHOOL,644,0.02,0.44,0
CATO-MERIDIAN MIDDLE SCHOOL,334,0.05,0.44,0
HOWARD T HERBER MIDDLE SCHOOL,397,0.81,0.44,0
RIVERHEAD MIDDLE SCHOOL,693,0.46,0.44,0
FIELDSTONE MIDDLE SCHOOL,1326,0.63,0.45,0
AUBURN JUNIOR HIGH SCHOOL,594,0.20,0.45,0
DALTON-NUNDA MIDDLE SCHOOL,176,0.02,0.45,0
PINE VALLEY CENTRAL JUNIOR-SENIOR HIGH SCHOOL,307,0.05,0.45,0
HUNTER-TANNERSVILLE MIDDLE SCHOOL HIGH SCHOOL,177,0.08,0.45,0
DOVER MIDDLE SCHOOL,336,0.25,0.45,0
CIRCLEVILLE MIDDLE SCHOOL,596,0.52,0.45,0
CANDOR JUNIOR-SENIOR HIGH SCHOOL,362,0.07,0.45,0
MARYVALE MIDDLE SCHOOL,489,0.18,0.46,0
COXSACKIE-ATHENS MIDDLE SCHOOL,434,0.13,0.46,0
GOUVERNEUR JUNIOR-SENIOR HIGH SCHOOL,874,0.04,0.46,0
TICONDEROGA MIDDLE SCHOOL,197,0.03,0.46,0
OTTO L SHORTELL MIDDLE SCHOOL,520,0.06,0.46,0
OWEGO-APALACHIN MIDDLE SCHOOL,505,0.06,0.46,0
ISLAND PARK LINCOLN ORENS MIDDLE SCHOOL,331,0.33,0.46,0
REMSEN JUNIOR-SENIOR HIGH SCHOOL,213,0.02,0.46,0
EMERSON J DILLON MIDDLE SCHOOL,627,0.06,0.47,0
CHESTNUT HILL MIDDLE SCHOOL,319,0.26,0.47,0
FRANKLINVILLE JUNIOR-SENIOR HIGH SCHOOL,339,0.01,0.47,0
JENNIE F SNAPP MIDDLE SCHOOL,918,0.22,0.47,0
CLYDE-SAVANNAH MIDDLE SCHOOL,185,0.16,0.47,0
ODESSA-MONTOUR JUNIOR/SENIOR HIGH SCHOOL,355,0.06,0.47,0
BAY SHORE MIDDLE SCHOOL,1401,0.62,0.47,0
POLAND JUNIOR-SENIOR HIGH SCHOOL,348,0.08,0.47,0
HAVILAND MIDDLE SCHOOL,941,0.29,0.47,0
A F PALMER ELEMENTARY SCHOOL / WINDSOR CENTRAL MIDDLE SCHOOL,649,0.04,0.47,0
HUDSON FALLS MIDDLE SCHOOL,528,0.06,0.47,0
GATES-CHILI MIDDLE SCHOOL,992,0.35,0.47,0
GROTON MIDDLE SCHOOL,185,0.05,0.48,0
BEN FRANKLIN MIDDLE SCHOOL,496,0.14,0.48,0
ROXBORO ROAD MIDDLE SCHOOL,916,0.16,0.48,0
DEPEW MIDDLE SCHOOL,459,0.11,0.48,0
ANNE M DORNER MIDDLE SCHOOL,919,0.71,0.48,0
MIDDLESEX VALLEY ELEMENTARY SCHOOL,339,0.04,0.48,0
MIDDLEBURGH MIDDLE SCHOOL,207,0.03,0.48,0
BEAVER RIVER MIDDLE SCHOOL,190,0.04,0.48,0
AUSABLE VALLEY MIDDLE SCHOOL,196,0.03,0.48,0
AFTON JUNIOR/SENIOR HIGH SCHOOL,250,0.05,0.48,0
DANA L LYON MIDDLE SCHOOL,551,0.03,0.48,0
LONGWOOD MIDDLE SCHOOL,1251,0.47,0.48,0
MIDDLEBURGH ELEMENTARY SCHOOL,363,0.05,0.49,0
STAFFORD MIDDLE SCHOOL,407,0.15,0.49,0
BEEKMANTOWN MIDDLE SCHOOL,445,0.05,0.49,0
KNOX JUNIOR HIGH SCHOOL,283,0.08,0.49,0
BERLIN MIDDLE SCHOOL,191,0.03,0.49,0
HARRISVILLE JUNIOR-SENIOR HIGH SCHOOL,224,0.03,0.50,0
PERRY MIDDLE SCHOOL,260,0.04,0.50,0
BELLPORT MIDDLE SCHOOL,1008,0.53,0.50,0
CLIFFORD WISE INTERMEDIATE/MIDDLE SCHOOL,545,0.22,0.50,0
LYNDON H STROUGH MIDDLE SCHOOL,788,0.15,0.50,0
ARCADIA MIDDLE SCHOOL,841,0.25,0.50,0
NEWARK VALLEY MIDDLE SCHOOL,372,0.03,0.50,0
ROMBOUT MIDDLE SCHOOL,674,0.56,0.50,0
ROBERTS STREET MIDDLE SCHOOL,326,0.09,0.51,0
SPENCER-VAN ETTEN MIDDLE SCHOOL,306,0.04,0.51,0
SILVER CREEK MIDDLE SCHOOL,228,0.22,0.51,0
HARPURSVILLE JUNIOR-SENIOR HIGH SCHOOL,374,0.04,0.51,0
PENN YAN MIDDLE SCHOOL,391,0.07,0.51,0
COHEN MIDDLE SCHOOL,247,0.09,0.51,0
